Sport,Year,Bronze,Gold,Silver,Total
Athletics,1896,12,12,13,37
Athletics,1900,22,27,27,76
Athletics,1904,23,28,28,79
Athletics,1906,21,21,23,65
Athletics,1908,33,34,34,101
Athletics,1912,42,53,48,143
Athletics,1920,44,44,45,133
Athletics,1924,43,43,43,129
Athletics,1928,36,36,36,108
Athletics,1932,38,38,38,114
Athletics,1936,38,38,38,114
Athletics,1948,42,42,42,126
Athletics,1952,42,42,42,126
Athletics,1956,42,42,44,128
Athletics,1960,42,43,44,129
Athletics,1964,45,45,45,135
Athletics,1968,45,45,45,135
Athletics,1972,50,50,50,150
Athletics,1976,49,49,49,147
Athletics,1980,49,53,51,153
Athletics,1984,57,57,55,169
Athletics,1988,58,58,59,175
Athletics,1992,59,61,58,178
Athletics,1996,60,60,60,180
Athletics,2000,62,63,65,190
Athletics,2004,58,62,60,180
Athletics,2008,60,63,64,187
Athletics,2012,62,64,64,190
Athletics,2016,62,66,64,192
Athletics,2020,77,83,70,230
Athletics,2024,79,78,73,230
Cycling,1896,4,6,6,16
Cycling,1900,3,3,3,9
Cycling,1904,7,7,7,21
Cycling,1906,7,7,7,21
Cycling,1908,10,10,10,30
Cycling,1912,10,13,13,36
Cycling,1920,13,13,13,39
Cycling,1924,13,13,13,39
Cycling,1928,13,13,14,40
Cycling,1932,12,12,12,36
Cycling,1936,13,13,13,39
Cycling,1948,13,13,13,39
Cycling,1952,13,13,13,39
Cycling,1956,13,14,13,40
Cycling,1960,13,13,13,39
Cycling,1964,14,14,14,42
Cycling,1968,15,15,15,45
Cycling,1972,9,15,14,38
Cycling,1976,12,12,12,36
Cycling,1980,12,13,12,37
Cycling,1984,14,14,15,43
Cycling,1988,16,16,16,48
Cycling,1992,17,17,16,50
Cycling,1996,18,17,17,52
Cycling,2000,24,25,24,73
Cycling,2004,24,26,26,76
Cycling,2008,25,24,26,75
Cycling,2012,28,26,27,81
Cycling,2016,29,27,28,84
Fencing,1896,3,3,3,9
Fencing,1900,7,7,7,21
Fencing,1904,4,7,7,18
Fencing,1906,13,14,14,41
Fencing,1908,14,14,13,41
Fencing,1912,14,17,16,47
Fencing,1920,22,28,22,72
Fencing,1924,21,27,24,72
Fencing,1928,21,22,22,65
Fencing,1932,22,22,21,65
Fencing,1936,22,22,22,66
Fencing,1948,22,22,22,66
Fencing,1952,22,22,22,66
Fencing,1956,20,22,22,64
Fencing,1960,23,27,26,76
Fencing,1964,23,24,24,71
Fencing,1968,24,24,24,72
Fencing,1972,23,24,24,71
Fencing,1976,24,24,24,72
Fencing,1980,23,24,24,71
Fencing,1984,24,24,24,72
Fencing,1988,24,24,24,72
Fencing,1992,24,24,24,72
Fencing,1996,20,20,21,61
Fencing,2000,21,23,22,66
Fencing,2004,21,20,20,61
Fencing,2008,21,20,21,62
Fencing,2012,22,22,22,66
Fencing,2016,22,21,22,65
Fencing,2020,30,30,30,90
Fencing,2024,30,30,30,90
Football,1900,11,11,13,35
Football,1904,12,13,11,36
Football,1906,11,12,11,34
Football,1908,12,11,13,36
Football,1912,15,14,15,44
Football,1920,14,14,18,46
Football,1924,18,14,15,47
Football,1928,17,17,16,50
Football,1936,14,14,13,41
Football,1948,13,12,15,40
Football,1952,12,15,11,38
Football,1956,14,18,14,46
Football,1960,16,16,12,44
Football,1964,19,14,17,50
Football,1968,16,17,18,51
Football,1972,36,17,17,70
Football,1976,15,17,17,49
Football,1980,17,16,17,50
Football,1984,17,16,16,49
Football,1988,18,18,16,52
Football,1992,20,17,16,53
Football,1996,33,31,33,97
Football,2000,34,35,30,99
Football,2004,34,33,34,101
Football,2008,33,35,34,102
Football,2012,36,33,36,105
Football,2016,36,35,35,106
Football,2020,44,44,44,132
Football,2024,39,42,43,124
Gymnastics,1896,5,26,6,37
Gymnastics,1900,1,1,1,3
Gymnastics,1904,17,19,15,51
Gymnastics,1906,12,23,21,56
Gymnastics,1908,27,39,31,97
Gymnastics,1912,66,67,65,198
Gymnastics,1920,51,72,75,198
Gymnastics,1924,16,16,17,49
Gymnastics,1928,26,24,26,76
Gymnastics,1932,15,15,15,45
Gymnastics,1936,24,23,23,70
Gymnastics,1948,25,25,22,72
Gymnastics,1952,35,36,39,110
Gymnastics,1956,37,32,31,100
Gymnastics,1960,25,26,22,73
Gymnastics,1964,21,24,28,73
Gymnastics,1968,24,26,22,72
Gymnastics,1972,23,24,25,72
Gymnastics,1976,25,24,25,74
Gymnastics,1980,26,25,24,75
Gymnastics,1984,24,28,23,75
Gymnastics,1988,26,28,21,75
Gymnastics,1992,26,26,25,77
Gymnastics,1996,26,26,28,80
Gymnastics,2000,24,24,24,72
Gymnastics,2004,24,24,24,72
Gymnastics,2008,24,24,24,72
Gymnastics,2012,22,22,22,66
Gymnastics,2016,22,22,22,66
Rowing,1900,24,23,21,68
Rowing,1904,9,18,18,45
Rowing,1906,35,36,36,107
Rowing,1908,32,16,16,64
Rowing,1912,26,20,20,66
Rowing,1920,20,20,20,60
Rowing,1924,24,27,26,77
Rowing,1928,26,26,26,78
Rowing,1932,26,26,26,78
Rowing,1936,26,26,26,78
Rowing,1948,26,26,26,78
Rowing,1952,26,26,26,78
Rowing,1956,26,26,26,78
Rowing,1960,26,26,26,78
Rowing,1964,27,26,26,79
Rowing,1968,26,27,26,79
Rowing,1972,26,26,26,78
Rowing,1976,54,55,54,163
Rowing,1980,55,55,55,165
Rowing,1984,54,54,54,162
Rowing,1988,56,53,57,166
